transaction_id,store,transaction_date,plan,contract_type,amount,status,source_file,source_folder,month_start,year_month
0017d0b2,Boston,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
0031199e,Boston,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
00bb30f4,Chicago,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
00ff1d12,Chicago,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
017fbedb,Washington DC,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
026d8835,San Francisco,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
027dcc70,Chicago,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
0364152c,Washington DC,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
05d8ba82,Chicago,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
0aecbdec,San Francisco,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
0b3c4718,New York,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
0e2e5686,New York,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
0ff018dc,Chicago,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
113a2389,Boston,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
11dffdab,Boston,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1347c304,Chicago,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1492eeb4,Chicago,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
15b03a55,Las Vegas,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
162283aa,Chicago,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
169b9939,San Francisco,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
173c29cd,New York,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1786fd2c,Las Vegas,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1787d96c,Boston,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
17bd57ff,New York,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
190e6587,Chicago,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
191d783c,Washington DC,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1955327c,Chicago,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1956e4fd,Boston,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
19a55741,Chicago,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1acbad30,San Francisco,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1d841590,Chicago,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1dcff3f1,New York,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1f6c3537,San Francisco,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
1f7c641f,Chicago,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
201c7a38,Chicago,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
2060e3ed,San Francisco,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
20ee74f9,Chicago,2019-12-02 00:00:00,Gold,EXISTING,19.35,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
213a2d89,Chicago,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
2193e6ee,San Francisco,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
22e88117,New York,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
235aa6b1,New York,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
23a9dd3e,Chicago,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
2593e3ed,Las Vegas,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
25ccbfa0,Boston,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
25dafa5e,Washington DC,2019-12-02 00:00:00,Bronze,EXISTING,12.2,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
2611dd02,Chicago,2019-12-02 00:00:00,Silver,EXISTING,14.25,ACTIVE,2019-12.xls,raw_sales_data,2019-12-01 00:00:00,2019-12
